_id,rank,title,id
ObjectId(6558d9136f43ba9943b178bc),84,L.A. Confidential,tt0119488
ObjectId(6558d9136f43ba9943b178bd),83,Braveheart,tt0112573
ObjectId(6558d9136f43ba9943b178be),85,Bicycle Thieves,tt0040522
ObjectId(6558d9136f43ba9943b178bf),87,Singin' in the Rain,tt0045152
ObjectId(6558d9136f43ba9943b178c0),86,Chinatown,tt0071315
ObjectId(6558d9136f43ba9943b178c1),88,Princess Mononoke,tt0119698
ObjectId(6558d9136f43ba9943b178c2),89,Monty Python and the Holy Grail,tt0071853
ObjectId(6558d9136f43ba9943b178c3),90,Metropolis,tt0017136
ObjectId(6558d9136f43ba9943b178c4),91,Rashomon,tt0042876
ObjectId(6558d9136f43ba9943b178c5),94,2001: A Space Odyssey,tt0062622
ObjectId(6558d9136f43ba9943b178c6),93,Amadeus,tt0086879
ObjectId(6558d9136f43ba9943b178c7),95,All About Eve,tt0042192
ObjectId(6558d9136f43ba9943b178c8),96,Witness for the Prosecution,tt0051201
ObjectId(6558d9136f43ba9943b178c9),98,The Apartment,tt0053604
ObjectId(6558d9136f43ba9943b178ca),97,The Sting,tt0070735
ObjectId(6558d9136f43ba9943b178cb),99,Grave of the Fireflies,tt0095327
ObjectId(6558d9136f43ba9943b178cc),100,Indiana Jones and the Last Crusade,tt0097576
ObjectId(6558d9136f43ba9943b178cd),92,Some Like It Hot,tt0053291
